Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2024-01-01,Breakfast,111,0,0,0,0,0,0,353,347,2,0,2,23,0,0,2,1
2024-01-08,Breakfast,1758,54,7,5,10,0,32,888,863,90,15,26,217,0,18,13,31
2024-01-09,Breakfast,2328,125,47,1,7,0,320,1028,710,72,16,16,215,0,18,9,21
2024-01-10,Breakfast,1673,45,3,5,10,0,32,958,773,91,17,18,212,0,18,13,23
2024-01-11,Breakfast,1336,36,2,1,7,0,32,554,710,39,7,16,198,0,13,2,7
2024-01-12,Breakfast,1426,33,2,0,0,0,45,914,497,56,5,24,211,0,0,16,7
2024-01-13,Breakfast,1612,64,19,0,0,1,426,3257,1197,66,7,31,195,0,0,106,13
2024-01-14,Breakfast,241,8,1,0,0,0,3,673,347,16,3,4,26,0,0,6,3
2024-01-16,Breakfast,1696,45,7,0,0,0,93,1813,1126,88,7,28,224,0,0,14,36
2024-01-17,Breakfast,1726,49,6,0,0,0,3,1057,449,72,6,16,232,0,0,6,13
2024-01-18,Breakfast,1801,53,8,0,0,0,105,1743,1076,87,5,15,232,6,3,16,32
2024-01-23,Breakfast,1291,27,2,0,0,0,90,1113,987,31,2,14,214,0,0,10,5
2024-01-24,Breakfast,1421,41,4,0,0,0,30,753,347,42,4,17,205,0,0,10,7
2024-01-25,Breakfast,1498,50,9,5,10,0,1012,665,364,34,2,14,208,0,0,23,32
2024-01-26,Breakfast,1390,31,1,0,0,0,30,290,0,32,2,13,224,0,0,8,6
2024-01-27,Breakfast,1120,25,1,0,0,0,30,290,0,32,2,13,175,0,0,8,6
2024-01-29,Breakfast,1743,33,1,0,0,0,30,290,0,110,4,13,231,0,0,8,6
2024-01-30,Breakfast,1385,26,1,0,0,0,30,290,0,90,3,13,180,0,0,8,6
2024-01-31,Breakfast,1241,32,3,1,0,0,110,384,33,21,2,4,202,0,0,14,7
2024-02-01,Breakfast,1707,42,4,0,0,0,36,794,173,79,13,11,242,0,5,37,25
2024-02-02,Breakfast,1216,38,7,4,7,0,774,414,276,4,0,2,196,0,0,19,21
2024-02-04,Breakfast,2288,76,19,5,9,0,789,1179,368,168,20,65,214,0,0,29,61
2024-02-05,Breakfast,2026,62,16,4,7,0,789,984,276,136,18,56,211,0,0,25,45
2024-02-06,Breakfast,1318,42,8,5,9,0,774,499,328,20,1,11,197,0,0,20,36
2024-02-07,Breakfast,1537,45,8,6,9,0,784,1457,302,43,0,6,218,16,0,77,35
2024-02-08,Breakfast,1306,38,7,4,7,0,784,974,276,8,0,2,214,16,0,69,21
2024-02-09,Breakfast,1456,54,11,5,9,0,791,1038,478,38,3,18,195,11,0,63,36
2024-02-11,Breakfast,3480,129,47,3,6,0,788,4878,207,264,17,27,305,64,48,176,97
2024-02-12,Breakfast,1996,80,13,4,7,0,781,1007,276,85,4,6,226,11,0,53,21
2024-02-13,Breakfast,1805,61,12,4,7,0,787,744,276,37,3,3,251,0,0,11,19
2024-02-14,Breakfast,1276,41,6,4,7,0,744,284,276,1,0,1,205,0,0,11,19
2024-02-15,Breakfast,1801,74,16,5,9,0,947,999,356,72,4,44,202,11,0,47,33
2024-02-17,Breakfast,23,1,0,0,0,0,0,3,0,5,0,3,0,0,0,0,0
2024-02-18,Breakfast,1456,49,9,5,15,0,786,1875,640,20,5,7,221,11,13,55,32
2024-02-19,Breakfast,1816,70,15,4,7,0,816,1397,276,53,2,32,227,13,0,49,27
2024-02-20,Breakfast,1434,48,9,4,8,0,751,937,276,20,1,7,213,11,0,55,23
2024-02-21,Breakfast,1828,90,32,4,9,0,1067,1529,446,30,2,17,219,8,2,38,32
2024-02-22,Breakfast,1126,34,3,0,0,0,0,513,396,10,2,4,181,0,0,2,1
2024-02-23,Breakfast,320,9,2,0,0,0,0,538,297,9,1,3,48,0,0,11,1
2024-02-24,Breakfast,2273,85,23,2,8,1,195,2179,1093,93,9,44,271,0,15,27,14
